2026-05-13 21:50:17 | INFO | src.config | run=2bb0f6d0 | Logging configured | level=INFO file=logs\ma_rag_20260513_215017.log run_id=2bb0f6d0
2026-05-13 21:50:17 | INFO | __main__ | run=2bb0f6d0 | Initializing workflow for single-question test...
2026-05-13 21:50:17 | INFO | __main__ | run=2bb0f6d0 | 
================================================================================
2026-05-13 21:50:17 | INFO | __main__ | run=2bb0f6d0 | Running single-question evaluation
2026-05-13 21:50:17 | INFO | __main__ | run=2bb0f6d0 | Question: Two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pect...
2026-05-13 21:50:17 | INFO | __main__ | run=2bb0f6d0 | ================================================================================

2026-05-13 21:50:17 | INFO | __main__ | run=2bb0f6d0 | Invoking workflow with initial state...
2026-05-13 21:51:21 | INFO | numexpr.utils | run=2bb0f6d0 | NumExpr defaulting to 12 threads.
2026-05-13 21:51:31 | INFO | src.core.registry | run=2bb0f6d0 | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 21:51:37 | INFO | src.core.registry | run=2bb0f6d0 | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 21:51:37 | INFO | src.pubmed_client | run=2bb0f6d0 | PubMed client initialized (Async)
2026-05-13 21:51:39 | INFO | src.pubmed_client | run=2bb0f6d0 | Starting search pipeline with query: "Intervention is supported" AND (cardiac catheterization OR stenting OR aspirin OR clopidogrel) AND (acute kidney injury OR elevated creatinine OR decreased urinary output OR reticulated purplish disc
2026-05-13 21:51:39 | INFO | src.pubmed_client | run=2bb0f6d0 | eSearch: "Intervention is supported" AND (cardiac catheterization OR stenting OR aspirin OR clopidogrel) AND (acute kidney injury OR elevated creatinine OR decreased urinary output OR reticulated purplish disc
2026-05-13 21:51:41 | INFO | src.pubmed_client | run=2bb0f6d0 | eSearch complete
2026-05-13 21:51:41 | INFO | src.pubmed_client | run=2bb0f6d0 | eFetch
2026-05-13 21:51:43 | INFO | src.pubmed_client | run=2bb0f6d0 | eFetch complete
2026-05-13 21:51:43 | INFO | src.pubmed_client | run=2bb0f6d0 | Filtering complete
2026-05-13 21:51:43 | INFO | src.pubmed_client | run=2bb0f6d0 | Validation complete
2026-05-13 21:51:43 | INFO | src.pubmed_client | run=2bb0f6d0 | Search metadata completeness
2026-05-13 21:51:43 | INFO | src.pubmed_client | run=2bb0f6d0 | Search pipeline complete
2026-05-13 21:51:43 | INFO | src.pubmed_client | run=2bb0f6d0 | Starting search pipeline with query: "Intervention is supported" AND (no complications OR normal renal function OR absence of rash OR normal eosinophils)
2026-05-13 21:51:43 | INFO | src.pubmed_client | run=2bb0f6d0 | eSearch: "Intervention is supported" AND (no complications OR normal renal function OR absence of rash OR normal eosinophils)
2026-05-13 21:51:45 | INFO | src.pubmed_client | run=2bb0f6d0 | eSearch complete
