2026-05-14 10:42:44 | INFO | src.config | run=4d16086a | Logging configured | level=INFO file=logs\ma_rag_20260514_104244.log run_id=4d16086a
2026-05-14 10:42:44 | INFO | __main__ | run=4d16086a | Initializing workflow for single-question test...
2026-05-14 10:42:44 | INFO | __main__ | run=4d16086a | 
================================================================================
2026-05-14 10:42:44 | INFO | __main__ | run=4d16086a | Running single-question evaluation
2026-05-14 10:42:44 | INFO | __main__ | run=4d16086a | Question: Two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pect...
2026-05-14 10:42:44 | INFO | __main__ | run=4d16086a | ================================================================================

2026-05-14 10:42:44 | INFO | __main__ | run=4d16086a | Invoking workflow with initial state...
2026-05-14 10:45:44 | INFO | numexpr.utils | run=4d16086a | NumExpr defaulting to 12 threads.
2026-05-14 10:46:06 | INFO | src.core.registry | run=4d16086a | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-14 10:46:20 | INFO | src.nodes.pico_extraction | run=4d16086a | Diagnostic intent detected. Generating hypotheses.
2026-05-14 10:46:21 | INFO | src.core.registry | run=4d16086a | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-14 10:46:21 | INFO | src.pubmed_client | run=4d16086a | PubMed client initialized (Async)
2026-05-14 10:46:24 | INFO | src.pubmed_client | run=4d16086a | Starting search pipeline with query: "Cholesterol Embolism Syndrome" AND (renal dysfunction OR elevated creatinine OR "decreased urinary output" OR malaise OR "purplish discoloration" OR "reticulated skin")
2026-05-14 10:46:24 | INFO | src.pubmed_client | run=4d16086a | eSearch: "Cholesterol Embolism Syndrome" AND (renal dysfunction OR elevated creatinine OR "decreased urinary output" OR malaise OR "purplish discoloration" OR "reticulated skin")
2026-05-14 10:46:25 | INFO | src.pubmed_client | run=4d16086a | eSearch complete
2026-05-14 10:46:25 | INFO | src.pubmed_client | run=4d16086a | eFetch
2026-05-14 10:46:26 | INFO | src.pubmed_client | run=4d16086a | eFetch complete
2026-05-14 10:46:26 | INFO | src.pubmed_client | run=4d16086a | Filtering complete
2026-05-14 10:46:26 | INFO | src.pubmed_client | run=4d16086a | Validation complete
2026-05-14 10:46:26 | INFO | src.pubmed_client | run=4d16086a | Search metadata completeness
2026-05-14 10:46:26 | INFO | src.pubmed_client | run=4d16086a | Search pipeline complete
2026-05-14 10:46:26 | INFO | src.pubmed_client | run=4d16086a | Starting search pipeline with query: "Cholesterol Embolism Syndrome" AND (no fever OR "normal platelet count" OR "normal hemoglobin")
2026-05-14 10:46:26 | INFO | src.pubmed_client | run=4d16086a | eSearch: "Cholesterol Embolism Syndrome" AND (no fever OR "normal platelet count" OR "normal hemoglobin")
2026-05-14 10:46:27 | INFO | src.pubmed_client | run=4d16086a | eSearch complete
2026-05-14 10:46:27 | INFO | src.pubmed_client | run=4d16086a | No PMIDs found
2026-05-14 10:46:27 | INFO | src.pubmed_client | run=4d16086a | Starting search pipeline with query: "Acute Interstitial Nephritis" AND (renal dysfunction OR elevated creatinine OR "decreased urinary output" OR malaise OR eosinophilia OR fever)
2026-05-14 10:46:27 | INFO | src.pubmed_client | run=4d16086a | eSearch: "Acute Interstitial Nephritis" AND (renal dysfunction OR elevated creatinine OR "decreased urinary output" OR malaise OR eosinophilia OR fever)
2026-05-14 10:46:28 | INFO | src.pubmed_client | run=4d16086a | eSearch complete
2026-05-14 10:46:28 | INFO | src.pubmed_client | run=4d16086a | eFetch
2026-05-14 10:46:29 | INFO | src.pubmed_client | run=4d16086a | eFetch complete
2026-05-14 10:46:29 | INFO | src.pubmed_client | run=4d16086a | Filtering complete
2026-05-14 10:46:29 | INFO | src.pubmed_client | run=4d16086a | Validation complete
2026-05-14 10:46:29 | INFO | src.pubmed_client | run=4d16086a | Search metadata completeness
2026-05-14 10:46:29 | INFO | src.pubmed_client | run=4d16086a | Search pipeline complete
2026-05-14 10:46:29 | INFO | src.pubmed_client | run=4d16086a | Starting search pipeline with query: "Acute Interstitial Nephritis" AND (no rash OR "no peripheral eosinophilia" OR "intravascular vacuoles" OR "cholesterol emboli")
2026-05-14 10:46:29 | INFO | src.pubmed_client | run=4d16086a | eSearch: "Acute Interstitial Nephritis" AND (no rash OR "no peripheral eosinophilia" OR "intravascular vacuoles" OR "cholesterol emboli")
2026-05-14 10:46:30 | INFO | src.pubmed_client | run=4d16086a | eSearch complete
2026-05-14 10:46:30 | INFO | src.pubmed_client | run=4d16086a | eFetch
2026-05-14 10:46:31 | INFO | src.pubmed_client | run=4d16086a | eFetch complete
2026-05-14 10:46:31 | INFO | src.pubmed_client | run=4d16086a | Filtering complete
2026-05-14 10:46:31 | INFO | src.pubmed_client | run=4d16086a | Validation complete
2026-05-14 10:46:31 | INFO | src.pubmed_client | run=4d16086a | Search metadata completeness
2026-05-14 10:46:31 | INFO | src.pubmed_client | run=4d16086a | Search pipeline complete
2026-05-14 10:46:31 | INFO | src.pubmed_client | run=4d16086a | Starting search pipeline with query: "Drug-Induced Thrombotic Microangiopathy" AND (renal dysfunction OR elevated creatinine OR "decreased urinary output" OR "purplish discoloration" OR fever OR leukocytosis)
2026-05-14 10:46:31 | INFO | src.pubmed_client | run=4d16086a | eSearch: "Drug-Induced Thrombotic Microangiopathy" AND (renal dysfunction OR elevated creatinine OR "decreased urinary output" OR "purplish discoloration" OR fever OR leukocytosis)
